epoch,train_loss,test_loss,train_f1_score,train_auroc,test_f1_score,test_auroc
1,0.3562316596508026,0.36161208152770996,0.6226505397302392,0.9295035675993045,0.6763332609781556,0.9186877841040239
2,0.22427557408809662,0.198208749294281,0.737194510405362,0.9592661339970203,0.7071066239619448,0.9348649863113396
3,0.18094603717327118,0.27565649151802063,0.7445136819303282,0.9617052701154498,0.7367066390574106,0.9369388753947988
4,0.1593894362449646,0.24228963255882263,0.7699953690336111,0.9631223401126956,0.7405563509814631,0.9371219955070269
5,0.1435273140668869,0.346044659614563,0.7915640205334753,0.9636850826140974,0.7632053003761787,0.9379995524999131
